Question,Expected
"НЕ МОЖУ ЗМІНИТИ на VTX (IRC Tramp).
Після збереження постійно зберігається ось ця хрень. Допоможіть виправити це налаштування на VTX (IRC Tramp). Будь ласка.",Потрібно зняти галочку uart1 - msp. І потім вибрати irc tramp.
"Підкажіть чому за жалом припій тягнеться. Флюс додаю, контакт розігріваю.",Можливо занадто повільно паяльник прибираєте. 
"Бажаю здоров'я! Маю проблему при перевірці смоукстопером (на відео). Перевіряв на 1А.  Чи є у когось якісь поради? Це КЗ чи щось інше?
Пайку і шлейфи перевірив, все на своїх місцях.","На 2А все працює, відбій тривоги)))
Є підозра що струму не вистачає бо заряд батареї низький."
"Привіт колеги
Маю проблеми з конектом до польотного контроллера (судячи з відсутності 2х останніх звукових сигналів).  Пайка наче норм.
Підкажіть що може бути не так, куди дивитись? Завчасно дякую.",Ну якщо до контроллера то шлейф. Перевірте чи до кінця вставлений і піни не загнуті
"Добрий вечір, а чим кріпитися зміїна шкіра? Ізолентою чи термоусадкою?",І так і так можна. Термоусадкою - надійніше.
"Добрий день, а є значення спереду чи ззаду будуть антени радіоприймача?",Спереду можуть бути вуси для ініціалізації. Краще позаду.
"Вітаю, спільното! Намагаюся припаяти силові і конденсатор, але VTX, типова проблема, займає усе місце. Можливо, хтось мав справу з цим VTX і може щось порадити?
Друг рекомендував трохи опустити VTX і через боки вивести силові (низом каже, що погано, бо на шляху силових утвориться кілька карбонових кутиків як проводять струм - один необережний удар і то все горить). А як з кондесатором тоді? у мене трохи короткі там ніжки, їх можна якось допаяти?
Дякую 🙇","Обрізаєте ніжки конденсатора до 5-7 мм
Підпаюєте туди залишки (обрізки) дротів від моторів
Надягаєте термоусадку на місце підпайки
Далі розміщуєте конденсатор як зручно
Обрізаєте залишки дротів по місту і підпаюєте до ESC"
"О, дроти від моторів) дякую!
А чому саме 5-7мм? У мене є ще термоусадка, якщо що","Тонкі ніжки конденсатора, це вузьке місце - бо саме вони можуть перегоріти. Ви їх заміняєте на більш товсті дроти. 
5-7 мм достатньо що припаяти."
"Підскажіть будь ласка який повинен бути опір відео антени 5.8G Rush Cherry RHCP SMA 160мм? Десь біля 50 Ом? В мене якісь мегаоми, може бути причиною перегорання передавача.","Ви не можете виміряти хвильовий опір антени звичайним тестером. Для цього потрібно мати векторний аналізатор, наприклад, LiteVNA 64.

Антени Rush Cherry доволі якісні. Малоймовірно, що така антена без ознак механічного пошкодження стала причиною виходу з ладу передавача.

Більш імовірно, що причиною став пігтейл, особливо якщо під час його монтажу він був занадто зігнутий у місті контакту кабеля та роз'єму. В цьому випадку перегрівається та пошкоджується вихідний каскад передавача. Передавач подаватиме ознаки життя, вмикатиме світлову індикацію, працюватиме вентилятор, але сигнал буде слабкий. 

Також зустрічається ситуація, коли живлення передавача подають на контакти передавача, призначені для живлення камери. В цьому випадку згорають ланцюги живлення передавача, і він не подає ознак життя."
"Колеги збиральники, підкажіть: польотний контролер тільки уже розпаяний перевіряється на справність? 
Чи можна його до розпайки перевірити якось?",В залежності від  несправності. Якщо проц живий і USB не пошкоджене  - щось відобразиться
"Вітаю! Під час перевірки збірки у Betaflight Configurator на VTX показує Device Ready False.

ПК: speedybee
VTX: Geprc Rad

Під час підключення всі звуки програються, лед світяться, мотори крутяться, vtx нагрівається, антена підключена, всі піни наче вірно підключені.

Як можна діагностувати проблему? Потрібен екран або окуляри?","Перевірте правильність подачі живлення на передавач. Червоний та чорний дроти мають іти на контакти роз'єму DC7-36 та GND, а не на розташовані з протилежного боку 5V OUT та GND."
"А в мене таке питання: чому може не працювати наекранне меню (OSD) на spedybee f405 v4? Пайка нормальна, відео передається. Ось що написано в CLI: resource OSD_CS 1 B12","У мене була колись така проблема.
Потрібно дивитись - можливо в пресеті ще є якісь пункти, які активують функцію запису. 
Чи якийсь тумблер на пульті запрограмований на включення/відключення запису на карту.

Найгірший варіант - це якщо припій попав на мікросхему OSD на FC."
"Колеги потрібна порада
Після пайки помітив що на обмотці двигуна капнув припій
Ще на запускав але думаю що це прям косяк
Може є ідеї як його звідти дістати бо пінцетом не дістається","Відкрутити мотор, вивернути знизу гвинтик, зняти колокол та витягнути окаліну. Було таке, зробив так як написав…"
"Вітаю
Один з двигунів почав видавати тріск 
Гвинти не довгі, зняв колокол лишніх предметів в середині нема.
Що це може бути і що з цим можна робити?","Я б точно копав до кінця, ставив би інший колокол та пробував, знайшов би вал схожий по діаметру та вставив у підшипник та теж пробував, бо все одно причина якась повинна бути. А варіанти всього два, або підшипник, або колокол…"
"Та наче ні
вже дивися з усіх сторін
Вже припаяв інший на його місце
А з цим буду ще думати що робити

А якщо це стружка, як її зняти?)","То схоже справа не у колоколі, першу причину можно відкинути. Остається підшипник, що теж імовірно. Можна заміряти вал на колоколі, підібрати щось схоже, вставити та легенько покрутити. Як що підшипник не справний воно повинно якось проявитись, або хрускотіти, або десь підтормажувати. Бо у іншому випадку хрускіт може давати тільки як що щось у середині колокола трохи чіпляється за обмотку мотора…"
"Друзі зіштовхнувся з такою проблемою. Зібрав Дрон на рамі One source. 
Зібрав основу рами і вона постояла у мене якийсь час.
Я спробував рухати промені нічого не рухалося.
Потім розпаяв усе і вже хотів ставити верхню кришку і тут думаю спробую промені чи немає люфта.
І блін він є на всіх променях.
Спробував болти тягнуть і вони блін тягнуться.
Що за фігня. Я коли затягував то так, що вже рука не крутила викрутку, двома руками боявся, щоб не лизнуло різьбу. 
Ну в на фіксатор синій садив а вони крутяться.

Я щось не так зробив?","Я, коли відмивав пензлик від КО лаку (хз чим він розчиняється), робив так: промиваю в ізопропанолі, воно частково розчиняється, частково береться грудками, швиденько витираю серветкою. Пензлик трохи розтріпаний, але ще живий."
"А якщо рухаються? Тягнуть не зважаючи на можливість зриву різьби?

У мене таке було з рамою Марк4. Рухались промені, почав тягнути то болт всередині лопнув.",Елементи рами фіксуються за рахунок невеликого плюсового допуску. Якщо його немає - можна створити - обмотати центральний елемент шаром скловолокна і промазати епоксидкою.
Ясно. А цианакрилат прилипає до карбону? Можливо ним? Бо з скловолокном та епоксидкою вовтузитись якось загрозливо виглядає 🙂,"там не скільки щоб прилипло, як щоб вологу не тягнуло. Подумалось, що в принципі можна і товсту алюмінієву фольгу намотати. Будь-який матеріал, негігроскопічний і стійкий до тиску. Головне щоб воно не продавилось, тиск там серйозний, якщо болт М3 рветься.
а ціаноакрилат моментально застигне, поки ви крутитимете гайки - потріскається."
"Як я розумію, то vtx, мабуть вмер, бо ані кулер не крутиться, ані діоди не світяться. А от чи небезпечно підключити новий vtx на цей сами польотник? Чи не може якось цей польотник пошкодити новий  vtx?","навряд.
для перевірки можна взяти резистор 100 ом 1 вт і навантажити вихід польотника - напруга повинна триматися 
це щоб виключити можливість того що з живленням щось не то"
"Вітаю. Порадьте, будь ласка, що робити, якщо одна з гайок на моторі зірвалась (гвинт не закручується міцно)?","Там по моєму алюмінієві гайки М5 з фланцем і нейлоновим кільцем. Ви таку саму не знайдете.
Як варіант заміну можна купити стальну гайку М5 з фланцем і нейлоновим кільцем (теж не дуже частий варіант в магазинах з кріпленням).
Чи просто взяти шайбу 5 мм і стальну гайку М5 з нейлоновим кільцем."
"Вітаю
прошивав радіоприймач happymodel es900rx
черех wifi 
і схоже що рано відʼєднав живлення і він не встиг перезапуститись...
Бо тепер горить постійно зелений індикатор, в режив wifi не переходить, по шнурку не прошивається.
це вже остаточно кірпіч чи можно щось ще зробити?","Оновив через Boot замкнувши контакти
"
Добрий вечір. Підкажіть будь ласка цей подвійний передавач підключається так само як і звичайний? І ще питання куди хто другу антену ставив?,"Звична компоновка - антени ззаду, детонатор спереду. Не бачу ніяких переваг в незвичній компоновці. Хіба що лишній напряг для того хто буде його експлуатувати."
"Вітаю. Є Mamba F405 MK2, у бетку заходить нормально, а у DFU не переходить (ні фізично, ні програмно). RC Fixer видає помилку. Вже даже не знаю куди копати.","Відпаяв ELRS, домогло. Дякую."
"привіт
Збираю дрона який буде використовуватись для тестів РЕБ
того є специфічні вимоги до нього
Наприклад, щоб дрон починав набирати висоту, аби вийти з зони дії ребу і відновити зв'язок. 


Підкажіть як подібне можно реалізувати, що для цього потрібно?","Якщо РЕБ не глушить GPS, то найпростіше можете GPS Resque виставити на набір висоти після втрати керування."
"привіт
Збираю дрона який буде використовуватись для тестів РЕБ
того є специфічні вимоги до нього
Наприклад, щоб дрон починав набирати висоту, аби вийти з зони дії ребу і відновити зв'язок. 


Підкажіть як подібне можно реалізувати, що для цього потрібно?",Можна через ardupilot scripts робити (майже) будь-які сценарії.
